0	imp	1.1401581764221191
1	j4	1.1196063607931137
2	Razor	1.1179840788245201
3	EE	1.1145201325416565
4	blitz	1.107341080904007
5	Already	1.104254201054573
6	Flash	1.0947987288236618
7	jinx	1.0824961066246033
8	grant	1.0577097535133362
9	khan	1.0556873492896557
10	Blitz	1.0537019446492195
11	honor	1.0483823791146278
12	io	1.0430294796824455
13	JG	1.037560511380434
14	Random	1.0336487106978893
15	Vladimir	1.0309227798134089
16	BOOM	1.0297451466321945
17	infamous	1.0295883025974035
18	avg	1.0276583321392536
19	stalker	1.0271314140409231
20	forge	1.025892548263073
21	panel	1.0257051289081573
22	blessing	1.0238290540874004
23	Pick	1.019732741639018
24	MIRA	1.018882431089878
25	ana	1.0167222581803799
26	geng	1.0156791284680367
27	Pinoy	1.0137929432094097
28	rs	1.0090303122997284
29	leo	1.0058135217987
30	Rush	1.0050741508603096
31	tim	1.0047304034233093
32	peepoWeird	1.0037836134433746
33	ee	1.001681179041043
34	RP	0.997701570391655
35	machete	0.9975775477942079
36	II	0.9959122315049171
37	clash	0.9934952110052109
38	Mastery	0.9918827107176185
39	rosh	0.9900455065071583
40	tipped	0.9884597659111023
41	Daddy	0.9884016066789627
42	¯\_(ツ)_/¯	0.985761702992022
43	Karma	0.984966766089201
44	mc	0.9840565919876099
45	sin	0.9828749448060989
46	Boom	0.981396958231926
47	Pogomega	0.9810882098972797
48	LINA	0.9787152037024498
49	poopoo	0.9771696161478758
